tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_name_full,winner_hand,winner_birthdate,winner_country,loser_name_full,loser_hand,loser_birthdate,loser_country,winner_age_calc,loser_age_calc,w_1st_pct,l_1st_pct,w_1st_won_pct,l_1st_won_pct,w_bp_saved_pct,diff_age
2000-339,Adelaide,2000-01-03,Hard,102358,103096,6-3 6-4,3,R32,76.0,6.0,0.0,66.0,29.0,23.0,23.0,10.0,2.0,2.0,1.0,3.0,59.0,37.0,25.0,13.0,9.0,2.0,4.0,4.0,1850.0,56.0,490.0,Thomas Enqvist,Right,1974-03-13,SWE,Arnaud Clement,Right,1977-12-17,FRA,25.0,22.0,43.93939393939394,62.71186440677966,79.3103448275862,67.56756756756756,100.0,3.0
2000-339,Adelaide,2000-01-03,Hard,103819,102533,6-1 6-4,3,R32,45.0,6.0,3.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,3.0,5.0,42.0,15.0,13.0,12.0,8.0,0.0,3.0,64.0,515.0,91.0,404.0,Roger Federer,Right,1981-08-08,SUI,Jens Knippschild,Right,1975-02-15,GER,18.0,24.0,60.86956521739131,35.714285714285715,85.71428571428571,86.66666666666667,100.0,-6.0
2000-339,Adelaide,2000-01-03,Hard,102998,101885,3-6 7-6(5) 6-4,3,R32,115.0,8.0,3.0,81.0,40.0,35.0,28.0,15.0,0.0,1.0,26.0,2.0,103.0,59.0,49.0,22.0,16.0,4.0,5.0,58.0,544.0,105.0,243.0,Jan Michael Gambill,Right,1977-06-03,USA,Wayne Arthurs,Left,1971-03-18,AUS,22.0,28.0,49.382716049382715,57.28155339805825,87.5,83.05084745762711,0.0,-6.0
2000-339,Adelaide,2000-01-03,Hard,103206,102776,6-2 6-1,3,R32,65.0,4.0,2.0,66.0,35.0,28.0,14.0,7.0,4.0,4.0,0.0,3.0,49.0,22.0,12.0,8.0,8.0,1.0,6.0,27.0,928.0,54.0,602.0,Sebastien Grosjean,Right,1978-05-29,FRA,Andrew Ilie,Right,1976-04-18,AUS,21.0,23.0,53.03030303030303,44.89795918367347,80.0,54.54545454545454,100.0,-2.0
2000-339,Adelaide,2000-01-03,Hard,102796,102401,6-4 6-4,3,R32,68.0,6.0,2.0,52.0,32.0,26.0,12.0,10.0,0.0,1.0,4.0,2.0,73.0,40.0,25.0,16.0,10.0,7.0,10.0,15.0,1244.0,154.0,219.0,Magnus Norman,Right,1976-05-30,SWE,Scott Draper,Left,1974-06-05,AUS,23.0,25.0,61.53846153846154,54.794520547945204,81.25,62.5,0.0,-2.0
2000-339,Adelaide,2000-01-03,Hard,101735,101889,7-6(5) 5-7 6-4,3,R32,144.0,6.0,4.0,111.0,70.0,43.0,26.0,17.0,7.0,12.0,1.0,7.0,116.0,67.0,43.0,24.0,17.0,8.0,13.0,78.0,368.0,197.0,143.0,Richard Fromberg,Right,1970-04-28,AUS,Todd Woodbridge,Right,1971-04-02,AUS,29.0,28.0,63.06306306306306,57.758620689655174,61.42857142857143,64.17910447761194,58.333333333333336,1.0
2000-339,Adelaide,2000-01-03,Hard,102872,101150,6-4 2-6 6-2,3,R32,89.0,2.0,3.0,74.0,50.0,32.0,14.0,13.0,3.0,6.0,8.0,5.0,64.0,26.0,22.0,17.0,13.0,2.0,6.0,144.0,279.0,94.0,403.0,James Sekulov,Right,1976-10-13,AUS,Gianluca Pozzi,Left,1965-06-17,ITA,23.0,34.0,67.56756756756756,40.625,64.0,84.61538461538461,50.0,-11.0
2000-339,Adelaide,2000-01-03,Hard,103252,102434,6-2 6-2,3,R32,53.0,0.0,2.0,42.0,24.0,20.0,10.0,8.0,0.0,1.0,0.0,1.0,44.0,24.0,14.0,5.0,8.0,2.0,7.0,57.0,635.0,20.0,896.0,Alberto Martin,Right,1978-08-20,ESP,Vincent Spadea,Right,1974-07-19,USA,21.0,25.0,57.14285714285714,54.54545454545454,83.33333333333334,58.333333333333336,0.0,-4.0
2000-339,Adelaide,2000-01-03,Hard,103720,101185,6-3 2-6 6-1,3,R32,108.0,0.0,4.0,71.0,39.0,27.0,18.0,12.0,5.0,8.0,2.0,2.0,82.0,48.0,31.0,13.0,12.0,11.0,16.0,25.0,955.0,130.0,201.0,Lleyton Hewitt,Right,1981-02-24,AUS,Mark Woodforde,Left,1965-09-23,AUS,18.0,34.0,54.929577464788736,58.536585365853654,69.23076923076923,64.58333333333334,62.5,-16.0
2000-339,Adelaide,2000-01-03,Hard,103162,101902,3-6 6-3 6-3,3,R32,98.0,4.0,1.0,88.0,38.0,27.0,25.0,14.0,5.0,9.0,2.0,6.0,73.0,26.0,17.0,25.0,13.0,5.0,10.0,205.0,197.0,127.0,258.0,Dejan Petrovic,Right,1978-04-03,SRB,Stephane Huet,Left,1971-04-25,FRA,21.0,28.0,43.18181818181818,35.61643835616438,71.05263157894737,65.38461538461539,55.55555555555556,-7.0
